subject,year,grade,scale,url
geography,2001,12,spadyn,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_geog_2001_natl_g12_spatial_acc.aspx
mathematics,2022,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4math_number2022.aspx
mathematics,2022,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4math_measurement2022.aspx
mathematics,2022,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4math_geometry2022.aspx
mathematics,2022,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4math_data2022.aspx
mathematics,2022,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4math_algebra2022.aspx
mathematics,2022,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8math_number2022.aspx
mathematics,2022,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8math_measurement2022.aspx
mathematics,2022,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8math_geometry2022.aspx
mathematics,2022,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8math_data2022.aspx
mathematics,2022,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8math_algebra2022.aspx
mathematics,2019,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4math_number2019.aspx
mathematics,2019,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4math_measurement2019.aspx
mathematics,2019,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4math_geometry2019.aspx
mathematics,2019,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4math_data2019.aspx
mathematics,2019,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4math_algebra2019.aspx
mathematics,2019,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8math_number2019.aspx
mathematics,2019,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8math_measurement2019.aspx
mathematics,2019,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8math_geometry2019.aspx
mathematics,2019,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8math_data2019.aspx
mathematics,2019,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8math_algebra2019.aspx
mathematics,2019,12,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12math_number2019.aspx
mathematics,2019,12,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12math_measurement2019.aspx
mathematics,2019,12,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12math_data2019.aspx
mathematics,2019,12,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12math_algebra2019.aspx
mathematics,2017,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4math_number2017.aspx
mathematics,2017,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4math_measurement2017.aspx
mathematics,2017,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4math_geometry2017.aspx
mathematics,2017,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4math_data2017.aspx
mathematics,2017,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4math_algebra2017.aspx
mathematics,2017,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8math_number2017.aspx
mathematics,2017,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8math_measurement2017.aspx
mathematics,2017,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8math_geometry2017.aspx
mathematics,2017,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8math_data2017.aspx
mathematics,2017,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8math_algebra2017.aspx
mathematics,2015,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4math_number2015.aspx
mathematics,2015,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4math_measurement2015.aspx
mathematics,2015,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4math_geometry2015.aspx
mathematics,2015,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4math_data2015.aspx
mathematics,2015,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4math_algebra2015.aspx
mathematics,2015,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8math_number2015.aspx
mathematics,2015,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8math_measurement2015.aspx
mathematics,2015,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8math_geometry2015.aspx
mathematics,2015,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8math_data2015.aspx
mathematics,2015,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8math_algebra2015.aspx
mathematics,2015,12,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12math_number2015.aspx
mathematics,2015,12,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12math_measurement2015.aspx
mathematics,2015,12,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12math_data2015.aspx
mathematics,2015,12,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12math_algebra2015.aspx
mathematics,2013,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g4number.aspx
mathematics,2013,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g4measurement.aspx
mathematics,2013,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g4geometry.aspx
mathematics,2013,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g4data.aspx
mathematics,2013,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g4algebra.aspx
mathematics,2013,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g8number.aspx
mathematics,2013,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g8measurement.aspx
mathematics,2013,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g8geometry.aspx
mathematics,2013,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g8data.aspx
mathematics,2013,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g8algebra.aspx
mathematics,2013,12,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g12number.aspx
mathematics,2013,12,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g12measurement.aspx
mathematics,2013,12,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g12data.aspx
mathematics,2013,12,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_math2013g12algebra.aspx
mathematics,2011,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g4number.aspx
mathematics,2011,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g4measurement.aspx
mathematics,2011,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g4geometry.aspx
mathematics,2011,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g4data.aspx
mathematics,2011,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g4algebra.aspx
mathematics,2011,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g8number.aspx
mathematics,2011,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g8measurement.aspx
mathematics,2011,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g8geometry.aspx
mathematics,2011,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g8data.aspx
mathematics,2011,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2011/scaling_irt_math_2011g8algebra.aspx
mathematics,2009,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g4number.aspx
mathematics,2009,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g4measurement.aspx
mathematics,2009,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g4geometry.aspx
mathematics,2009,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g4data.aspx
mathematics,2009,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g4algebra.aspx
mathematics,2009,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g8number.aspx
mathematics,2009,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g8measurement.aspx
mathematics,2009,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g8geometry.aspx
mathematics,2009,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g8data.aspx
mathematics,2009,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g8algebra.aspx
mathematics,2009,12,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g12number.aspx
mathematics,2009,12,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g12measurement_geo.aspx
mathematics,2009,12,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g12data.aspx
mathematics,2009,12,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2009/scaling_irt_math_2009g12algebra.aspx
mathematics,2007,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g4number.aspx
mathematics,2007,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g4measurement.aspx
mathematics,2007,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g4geometry.aspx
mathematics,2007,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g4data.aspx
mathematics,2007,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g4algebra.aspx
mathematics,2007,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g8number.aspx
mathematics,2007,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g8measurement.aspx
mathematics,2007,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g8geometry.aspx
mathematics,2007,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g8data.aspx
mathematics,2007,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2007/scaling_irt_math_2007g8algebra.aspx
mathematics,2005,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g4number.aspx
mathematics,2005,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g4measurement.aspx
mathematics,2005,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g4geometry.aspx
mathematics,2005,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g4data.aspx
mathematics,2005,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g4algebra.aspx
mathematics,2005,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g8number.aspx
mathematics,2005,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g8measurement.aspx
mathematics,2005,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g8geometry.aspx
mathematics,2005,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g8data.aspx
mathematics,2005,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g8algebra.aspx
mathematics,2005,12,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g12number.aspx
mathematics,2005,12,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g12geometry.aspx
mathematics,2005,12,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g12data.aspx
mathematics,2005,12,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2004_2005/scaling_irt_math_2005g12algebra.aspx
mathematics,2003,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g4_number.aspx
mathematics,2003,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g4_measurement.aspx
mathematics,2003,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g4_geometry.aspx
mathematics,2003,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g4_data.aspx
mathematics,2003,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g4_algebra.aspx
mathematics,2003,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g8_number.aspx
mathematics,2003,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g8_measurement.aspx
mathematics,2003,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g8_geometry.aspx
mathematics,2003,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g8_data.aspx
mathematics,2003,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2002_2003/scaling_irt_math_2003_g8_algebra.aspx
mathematics,2000,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g4_number_acc.aspx
mathematics,2000,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g4_measurement_acc.aspx
mathematics,2000,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g4_geometry_acc.aspx
mathematics,2000,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g4_data_acc.aspx
mathematics,2000,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g4_algebra_acc.aspx
mathematics,2000,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g8_number_acc.aspx
mathematics,2000,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g8_measurement_acc.aspx
mathematics,2000,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g8_geometry_acc.aspx
mathematics,2000,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g8_data_acc.aspx
mathematics,2000,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g8_algebra_acc.aspx
mathematics,2000,12,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g12_number_acc.aspx
mathematics,2000,12,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g12_measurement_acc.aspx
mathematics,2000,12,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g12_geometry_acc.aspx
mathematics,2000,12,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g12_data_acc.aspx
mathematics,2000,12,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_natl_g12_algebra_acc.aspx
mathematics,2000,4,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g4_number_acc.aspx
mathematics,2000,4,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g4_measurement_acc.aspx
mathematics,2000,4,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g4_geometry_acc.aspx
mathematics,2000,4,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g4_data_acc.aspx
mathematics,2000,4,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g4_algebra_acc.aspx
mathematics,2000,8,number,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g8_number_acc.aspx
mathematics,2000,8,measurement,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g8_measurement_acc.aspx
mathematics,2000,8,geometry,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g8_geometry_acc.aspx
mathematics,2000,8,data,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g8_data_acc.aspx
mathematics,2000,8,algebra,https://nces.ed.gov/nationsreportcard/tdw/analysis/2000_2001/scaling_irt_math_2000_state_g8_algebra_acc.aspx
reading,2022,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4read_info2022.aspx
reading,2022,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g4read_lit2022.aspx
reading,2022,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8read_info2022.aspx
reading,2022,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2022/scaling_irt_g8read_lit2022.aspx
reading,2019,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4read_info2019.aspx
reading,2019,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g4read_lit2019.aspx
reading,2019,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8read_info2019.aspx
reading,2019,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g8read_lit2019.aspx
reading,2019,12,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12read_info2019.aspx
reading,2019,12,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2019/scaling_irt_g12read_lit2019.aspx
reading,2017,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4read_info2017.aspx
reading,2017,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g4read_lit2017.aspx
reading,2017,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8read_info2017.aspx
reading,2017,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2017/scaling_irt_g8read_lit2017.aspx
reading,2015,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4read_info2015.aspx
reading,2015,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4read_lit2015.aspx
reading,2015,4,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g4read_meanvocab2015.aspx
reading,2015,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8read_info2015.aspx
reading,2015,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8read_lit2015.aspx
reading,2015,8,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g8read_meanvocab2015.aspx
reading,2015,12,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12read_info2015.aspx
reading,2015,12,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12read_lit2015.aspx
reading,2015,12,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2015/scaling_irt_g12read_meanvocab2015.aspx
reading,2013,4,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_read2013g4info.aspx
reading,2013,4,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_read2013g4lit.aspx
reading,2013,4,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_readvocab2013g4.aspx
reading,2013,8,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_read2013g8info.aspx
reading,2013,8,lit,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_read2013g8lit.aspx
reading,2013,8,vocab,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_readvocab2013g8.aspx
reading,2013,12,info,https://nces.ed.gov/nationsreportcard/tdw/analysis/2013/scaling_irt_read2013g12info.aspx
